number,status,score,level,primary_category,tags,prize,formalized,oeis,problem_file,url,model_review_level,model_review_score,model_review_confidence,model_review_file
70,open,35,low_candidate,graph theory,graph theory; ramsey theory; set theory,no,no,N/A,results/problems/graph-theory/problem_70.md,https://www.erdosproblems.com/70,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_70.json
74,open,56,medium_candidate,graph theory,graph theory; chromatic number; cycles,$500,yes,N/A,results/problems/graph-theory/problem_74.md,https://www.erdosproblems.com/74,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_74.json
75,open,47,low_to_medium_candidate,graph theory,graph theory; chromatic number,no,yes,N/A,results/problems/graph-theory/problem_75.md,https://www.erdosproblems.com/75,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_75.json
77,open,43,low_to_medium_candidate,graph theory,graph theory; ramsey theory,$250,no,A059442,results/problems/graph-theory/problem_77.md,https://www.erdosproblems.com/77,low_candidate,18,high,archive/v1/reviews/problem_77.json
78,open,46,low_to_medium_candidate,graph theory,graph theory; ramsey theory,$100,no,A059442,results/problems/graph-theory/problem_78.md,https://www.erdosproblems.com/78,medium_candidate,58,medium,archive/v1/reviews/problem_78.json
80,open,32,low_candidate,graph theory,graph theory; ramsey theory,no,no,N/A,results/problems/graph-theory/problem_80.md,https://www.erdosproblems.com/80,low_to_medium_candidate,35,medium,archive/v1/reviews/problem_80.json
81,open,34,low_candidate,graph theory,graph theory,no,no,possible,results/problems/graph-theory/problem_81.md,https://www.erdosproblems.com/81,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_81.json
82,open,40,low_to_medium_candidate,graph theory,graph theory,no,yes,A120414; A390256; A390257; A390919; A392636; A394400; A394462; A394539; A394563; A394564; A394573; A394574; A394930; A394933,results/problems/graph-theory/problem_82.md,https://www.erdosproblems.com/82,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_82.json
84,open,35,low_candidate,graph theory,graph theory; cycles,no,no,possible,results/problems/graph-theory/problem_84.md,https://www.erdosproblems.com/84,medium_candidate,58,medium,archive/v1/reviews/problem_84.json
85,open,43,low_to_medium_candidate,graph theory,graph theory,no,yes,A006672; possible,results/problems/graph-theory/problem_85.md,https://www.erdosproblems.com/85,medium_candidate,58,medium,archive/v1/reviews/problem_85.json
86,open,34,low_candidate,graph theory,graph theory,$100,no,A245762,results/problems/graph-theory/problem_86.md,https://www.erdosproblems.com/86,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_86.json
87,open,44,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,A059442; possible,results/problems/graph-theory/problem_87.md,https://www.erdosproblems.com/87,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_87.json
89,open,28,low_candidate,geometry,geometry; distances,$500,yes,A186704; A131628,results/problems/geometry/problem_89.md,https://www.erdosproblems.com/89,low_to_medium_candidate,34,high,archive/v1/reviews/problem_89.json
90,open,25,low_candidate,geometry,geometry; distances,$500,yes,A186705,results/problems/geometry/problem_90.md,https://www.erdosproblems.com/90,low_to_medium_candidate,28,medium,archive/v1/reviews/problem_90.json
91,open,30,low_candidate,geometry,geometry; distances,no,yes,A186704; possible,results/problems/geometry/problem_91.md,https://www.erdosproblems.com/91,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_91.json
92,open,24,low_candidate,geometry,geometry; distances,$500,yes,possible,results/problems/geometry/problem_92.md,https://www.erdosproblems.com/92,low_to_medium_candidate,36,high,archive/v1/reviews/problem_92.json
96,open,20,low_candidate,geometry,geometry; distances; convex,no,no,possible,results/problems/geometry/problem_96.md,https://www.erdosproblems.com/96,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_96.json
97,falsifiable,49,low_to_medium_candidate,geometry,geometry; distances; convex,$100,yes,N/A,results/problems/geometry/problem_97.md,https://www.erdosproblems.com/97,medium_candidate,62,medium,archive/v1/reviews/problem_97.json
98,open,24,low_candidate,geometry,geometry; distances,no,no,possible,results/problems/geometry/problem_98.md,https://www.erdosproblems.com/98,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_98.json
99,open,21,low_candidate,geometry,geometry; distances,$100,yes,N/A,results/problems/geometry/problem_99.md,https://www.erdosproblems.com/99,medium_candidate,58,medium,archive/v1/reviews/problem_99.json
100,open,23,low_candidate,geometry,geometry; distances,no,yes,N/A,results/problems/geometry/problem_100.md,https://www.erdosproblems.com/100,medium_candidate,62,medium,archive/v1/reviews/problem_100.json
101,open,28,low_candidate,geometry,geometry,$100,yes,A006065; possible,results/problems/geometry/problem_101.md,https://www.erdosproblems.com/101,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_101.json
102,open,23,low_candidate,geometry,geometry,no,no,N/A,results/problems/geometry/problem_102.md,https://www.erdosproblems.com/102,low_candidate,25,medium,archive/v1/reviews/problem_102.json
103,open,21,low_candidate,geometry,geometry; distances,no,no,possible,results/problems/geometry/problem_103.md,https://www.erdosproblems.com/103,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_103.json
104,open,23,low_candidate,geometry,geometry,$100,no,A003829,results/problems/geometry/problem_104.md,https://www.erdosproblems.com/104,medium_candidate,58,medium,archive/v1/reviews/problem_104.json
106,falsifiable,54,low_to_medium_candidate,geometry,geometry,no,no,N/A,results/problems/geometry/problem_106.md,https://www.erdosproblems.com/106,medium_candidate,62,medium,archive/v1/reviews/problem_106.json
107,falsifiable,57,medium_candidate,geometry,geometry; convex,$500,yes,A000051,results/problems/geometry/problem_107.md,https://www.erdosproblems.com/107,low_candidate,25,high,archive/v1/reviews/problem_107.json
108,open,58,medium_candidate,graph theory,graph theory; chromatic number; cycles,no,yes,possible,results/problems/graph-theory/problem_108.md,https://www.erdosproblems.com/108,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_108.json
111,open,35,low_candidate,graph theory,graph theory; chromatic number; set theory,no,no,N/A,results/problems/graph-theory/problem_111.md,https://www.erdosproblems.com/111,medium_candidate,58,medium,archive/v1/reviews/problem_111.json
112,open,38,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,results/problems/graph-theory/problem_112.md,https://www.erdosproblems.com/112,medium_candidate,62,medium,archive/v1/reviews/problem_112.json
114,falsifiable,49,low_to_medium_candidate,polynomials,polynomials; analysis,$250,no,N/A,results/problems/polynomials/problem_114.md,https://www.erdosproblems.com/114,medium_candidate,72,medium,archive/v1/reviews/problem_114.json
117,open,30,low_candidate,group theory,group theory,no,no,possible,results/problems/group-theory/problem_117.md,https://www.erdosproblems.com/117,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_117.json
119,open,28,low_candidate,analysis,analysis; polynomials,$100,yes,N/A,results/problems/analysis/problem_119.md,https://www.erdosproblems.com/119,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_119.json
120,open,38,low_to_medium_candidate,combinatorics,combinatorics,$100,yes,N/A,results/problems/combinatorics/problem_120.md,https://www.erdosproblems.com/120,low_to_medium_candidate,34,medium,archive/v1/reviews/problem_120.json
122,open,24,low_candidate,number theory,number theory,no,no,N/A,results/problems/number-theory/problem_122.md,https://www.erdosproblems.com/122,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_122.json
123,open,25,low_candidate,number theory,number theory,$250,yes,N/A,results/problems/number-theory/problem_123.md,https://www.erdosproblems.com/123,medium_candidate,58,medium,archive/v1/reviews/problem_123.json
124,open,34,low_candidate,number theory,number theory; base representations,no,yes,N/A,results/problems/number-theory/problem_124.md,https://www.erdosproblems.com/124,medium_candidate,58,medium,archive/v1/reviews/problem_124.json
126,open,19,low_candidate,number theory,number theory,$250,yes,possible,results/problems/number-theory/problem_126.md,https://www.erdosproblems.com/126,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_126.json
128,falsifiable,63,medium_candidate,graph theory,graph theory,$250,yes,N/A,results/problems/graph-theory/problem_128.md,https://www.erdosproblems.com/128,low_to_medium_candidate,46,medium,archive/v1/reviews/problem_128.json
129,open,43,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,results/problems/graph-theory/problem_129.md,https://www.erdosproblems.com/129,not_applicable_meta_mathematical,18,high,archive/v1/reviews/problem_129.json
130,open,47,low_to_medium_candidate,graph theory,graph theory; chromatic number,no,no,N/A,results/problems/graph-theory/problem_130.md,https://www.erdosproblems.com/130,low_to_medium_candidate,44,medium,archive/v1/reviews/problem_130.json
131,open,27,low_candidate,number theory,number theory,no,no,A068063,results/problems/number-theory/problem_131.md,https://www.erdosproblems.com/131,low_to_medium_candidate,45,medium,archive/v1/reviews/problem_131.json
132,open,20,low_candidate,distances,distances,$100,no,N/A,results/problems/distances/problem_132.md,https://www.erdosproblems.com/132,medium_candidate,67,medium,archive/v1/reviews/problem_132.json
137,open,26,low_candidate,number theory,number theory,no,yes,N/A,results/problems/number-theory/problem_137.md,https://www.erdosproblems.com/137,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_137.json
138,open,29,low_candidate,additive combinatorics,additive combinatorics,$500,yes,A005346,results/problems/additive-combinatorics/problem_138.md,https://www.erdosproblems.com/138,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_138.json
141,open,27,low_candidate,additive combinatorics,additive combinatorics; primes; arithmetic progressions,no,yes,A006560,results/problems/additive-combinatorics/problem_141.md,https://www.erdosproblems.com/141,low_candidate,25,medium,archive/v1/reviews/problem_141.json
142,open,22,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,$10000,yes,A003002; A003003; A003004; A003005,results/problems/additive-combinatorics/problem_142.md,https://www.erdosproblems.com/142,low_candidate,12,high,archive/v1/reviews/problem_142.json
143,open,25,low_candidate,primitive sets,primitive sets,$500,yes,N/A,results/problems/primitive-sets/problem_143.md,https://www.erdosproblems.com/143,medium_candidate,62,medium,archive/v1/reviews/problem_143.json
145,open,36,low_candidate,number theory,number theory,no,yes,A005117,results/problems/number-theory/problem_145.md,https://www.erdosproblems.com/145,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_145.json
146,open,34,low_candidate,graph theory,graph theory; turan number,$500,no,N/A,results/problems/graph-theory/problem_146.md,https://www.erdosproblems.com/146,low_candidate,18,high,archive/v1/reviews/problem_146.json
148,open,34,low_candidate,number theory,number theory; unit fractions,no,no,A076393; A006585,results/problems/number-theory/problem_148.md,https://www.erdosproblems.com/148,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_148.json
149,open,40,low_to_medium_candidate,graph theory,graph theory,no,no,N/A,results/problems/graph-theory/problem_149.md,https://www.erdosproblems.com/149,low_to_medium_candidate,30,medium,archive/v1/reviews/problem_149.json
151,open,37,low_candidate,graph theory,graph theory,no,no,possible,results/problems/graph-theory/problem_151.md,https://www.erdosproblems.com/151,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_151.json
153,open,35,low_candidate,sidon sets,sidon sets,no,yes,N/A,results/problems/sidon-sets/problem_153.md,https://www.erdosproblems.com/153,medium_candidate,58,medium,archive/v1/reviews/problem_153.json
155,open,30,low_candidate,additive combinatorics,additive combinatorics; sidon sets,no,yes,A143824; A227590; A003022,results/problems/additive-combinatorics/problem_155.md,https://www.erdosproblems.com/155,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_155.json
156,open,26,low_candidate,sidon sets,sidon sets,no,no,A382397,results/problems/sidon-sets/problem_156.md,https://www.erdosproblems.com/156,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_156.json
158,open,32,low_candidate,sidon sets,sidon sets,no,yes,N/A,results/problems/sidon-sets/problem_158.md,https://www.erdosproblems.com/158,medium_candidate,52,medium,archive/v1/reviews/problem_158.json
159,open,41,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,results/problems/graph-theory/problem_159.md,https://www.erdosproblems.com/159,low_to_medium_candidate,35,medium,archive/v1/reviews/problem_159.json
160,open,20,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,no,yes,possible,results/problems/additive-combinatorics/problem_160.md,https://www.erdosproblems.com/160,low_to_medium_candidate,48,medium,archive/v1/reviews/problem_160.json
161,open,41,low_to_medium_candidate,combinatorics,combinatorics; ramsey theory; discrepancy,$500,no,N/A,results/problems/combinatorics/problem_161.md,https://www.erdosproblems.com/161,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_161.json
162,open,48,low_to_medium_candidate,combinatorics,combinatorics; ramsey theory; discrepancy,no,no,N/A,results/problems/combinatorics/problem_162.md,https://www.erdosproblems.com/162,low_candidate,18,high,archive/v1/reviews/problem_162.json
165,open,32,low_candidate,graph theory,graph theory; ramsey theory,$250,no,A000791,results/problems/graph-theory/problem_165.md,https://www.erdosproblems.com/165,low_to_medium_candidate,32,medium,archive/v1/reviews/problem_165.json
167,falsifiable,59,medium_candidate,graph theory,graph theory,no,no,N/A,results/problems/graph-theory/problem_167.md,https://www.erdosproblems.com/167,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_167.json
168,open,39,low_to_medium_candidate,additive combinatorics,additive combinatorics,no,yes,A004059; A057561; A094708; A386439,results/problems/additive-combinatorics/problem_168.md,https://www.erdosproblems.com/168,medium_candidate,58,medium,archive/v1/reviews/problem_168.json
169,open,28,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,no,no,A005346,results/problems/additive-combinatorics/problem_169.md,https://www.erdosproblems.com/169,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_169.json
170,open,41,low_to_medium_candidate,additive combinatorics,additive combinatorics,no,yes,A046693,results/problems/additive-combinatorics/problem_170.md,https://www.erdosproblems.com/170,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_170.json
172,open,39,low_to_medium_candidate,additive combinatorics,additive combinatorics; ramsey theory,no,yes,N/A,results/problems/additive-combinatorics/problem_172.md,https://www.erdosproblems.com/172,medium_candidate,62,medium,archive/v1/reviews/problem_172.json
173,open,37,low_candidate,geometry,geometry; ramsey theory,no,no,N/A,results/problems/geometry/problem_173.md,https://www.erdosproblems.com/173,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_173.json
174,open,43,low_to_medium_candidate,geometry,geometry; ramsey theory,no,no,N/A,results/problems/geometry/problem_174.md,https://www.erdosproblems.com/174,low_to_medium_candidate,32,medium,archive/v1/reviews/problem_174.json
176,open,21,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions; discrepancy,no,no,possible,results/problems/additive-combinatorics/problem_176.md,https://www.erdosproblems.com/176,medium_candidate,58,medium,archive/v1/reviews/problem_176.json
177,open,30,low_candidate,discrepancy,discrepancy; arithmetic progressions,no,no,N/A,results/problems/discrepancy/problem_177.md,https://www.erdosproblems.com/177,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_177.json
180,open,46,low_to_medium_candidate,graph theory,graph theory; turan number,no,no,N/A,results/problems/graph-theory/problem_180.md,https://www.erdosproblems.com/180,medium_candidate,6,medium,archive/v1/reviews/problem_180.json
181,open,41,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,results/problems/graph-theory/problem_181.md,https://www.erdosproblems.com/181,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_181.json
183,open,47,low_to_medium_candidate,graph theory,graph theory; ramsey theory,$250,no,A003323,results/problems/graph-theory/problem_183.md,https://www.erdosproblems.com/183,low_to_medium_candidate,34,medium,archive/v1/reviews/problem_183.json
184,open,43,low_to_medium_candidate,graph theory,graph theory; cycles,no,yes,possible,results/problems/graph-theory/problem_184.md,https://www.erdosproblems.com/184,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_184.json
187,open,32,low_candidate,additive combinatorics,additive combinatorics; ramsey theory,no,no,N/A,results/problems/additive-combinatorics/problem_187.md,https://www.erdosproblems.com/187,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_187.json
188,open,39,low_to_medium_candidate,geometry,geometry; ramsey theory,no,yes,N/A,results/problems/geometry/problem_188.md,https://www.erdosproblems.com/188,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_188.json
190,open,36,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,no,no,possible,results/problems/additive-combinatorics/problem_190.md,https://www.erdosproblems.com/190,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_190.json
193,open,42,low_to_medium_candidate,geometry,geometry,no,yes,A231255,results/problems/geometry/problem_193.md,https://www.erdosproblems.com/193,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_193.json
195,open,32,low_candidate,arithmetic progressions,arithmetic progressions,no,yes,N/A,results/problems/arithmetic-progressions/problem_195.md,https://www.erdosproblems.com/195,medium_candidate,55,medium,archive/v1/reviews/problem_195.json
196,open,32,low_candidate,arithmetic progressions,arithmetic progressions,no,yes,N/A,results/problems/arithmetic-progressions/problem_196.md,https://www.erdosproblems.com/196,medium_candidate,58,medium,archive/v1/reviews/problem_196.json
197,open,32,low_candidate,arithmetic progressions,arithmetic progressions,no,yes,N/A,results/problems/arithmetic-progressions/problem_197.md,https://www.erdosproblems.com/197,medium_candidate,58,medium,archive/v1/reviews/problem_197.json
200,open,24,low_candidate,primes,primes; arithmetic progressions,no,yes,A005115,results/problems/primes/problem_200.md,https://www.erdosproblems.com/200,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_200.json
201,open,25,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,no,no,A003002; A003003; A003004; A003005; possible,results/problems/additive-combinatorics/problem_201.md,https://www.erdosproblems.com/201,low_to_medium_candidate,43,medium,archive/v1/reviews/problem_201.json
202,open,32,low_candidate,covering systems,covering systems,no,no,A389975,results/problems/covering-systems/problem_202.md,https://www.erdosproblems.com/202,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_202.json
203,open,32,low_candidate,primes,primes; covering systems,no,yes,N/A,results/problems/primes/problem_203.md,https://www.erdosproblems.com/203,medium_candidate,63,medium,archive/v1/reviews/problem_203.json
208,open,33,low_candidate,number theory,number theory,no,yes,A005117; A076259,results/problems/number-theory/problem_208.md,https://www.erdosproblems.com/208,low_to_medium_candidate,35,medium,archive/v1/reviews/problem_208.json
212,open,31,low_candidate,geometry,geometry; distances,no,yes,N/A,results/problems/geometry/problem_212.md,https://www.erdosproblems.com/212,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_212.json
213,open,28,low_candidate,geometry,geometry; distances,no,yes,N/A,results/problems/geometry/problem_213.md,https://www.erdosproblems.com/213,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_213.json
217,open,23,low_candidate,geometry,geometry; distances,no,no,possible,results/problems/geometry/problem_217.md,https://www.erdosproblems.com/217,low_to_medium_candidate,45,medium,archive/v1/reviews/problem_217.json
218,open,27,low_candidate,number theory,number theory; primes,no,yes,A333230; A333231; A064113,results/problems/number-theory/problem_218.md,https://www.erdosproblems.com/218,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_218.json
222,open,27,low_candidate,number theory,number theory; squares,no,no,A256435,results/problems/number-theory/problem_222.md,https://www.erdosproblems.com/222,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_222.json
233,open,21,low_candidate,number theory,number theory; primes,no,yes,A074741,results/problems/number-theory/problem_233.md,https://www.erdosproblems.com/233,low_candidate,18,high,archive/v1/reviews/problem_233.json
234,open,26,low_candidate,number theory,number theory; primes,no,yes,N/A,results/problems/number-theory/problem_234.md,https://www.erdosproblems.com/234,low_candidate,18,medium,archive/v1/reviews/problem_234.json
236,open,27,low_candidate,number theory,number theory; primes,no,yes,A039669; A109925,results/problems/number-theory/problem_236.md,https://www.erdosproblems.com/236,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_236.json
238,open,20,low_candidate,number theory,number theory; primes,no,yes,N/A,results/problems/number-theory/problem_238.md,https://www.erdosproblems.com/238,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_238.json
241,open,28,low_candidate,additive combinatorics,additive combinatorics; sidon sets,$100,yes,A387704,results/problems/additive-combinatorics/problem_241.md,https://www.erdosproblems.com/241,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_241.json
242,falsifiable,62,medium_candidate,number theory,number theory; unit fractions,no,yes,A073101; A075245; A075246; A075247; A075248; A287116,results/problems/number-theory/problem_242.md,https://www.erdosproblems.com/242,low_to_medium_candidate,46,medium,archive/v1/reviews/problem_242.json
243,open,27,low_candidate,number theory,number theory,no,yes,A000058,results/problems/number-theory/problem_243.md,https://www.erdosproblems.com/243,low_to_medium_candidate,4,medium,archive/v1/reviews/problem_243.json
244,open,23,low_candidate,number theory,number theory; primes,no,yes,N/A,results/problems/number-theory/problem_244.md,https://www.erdosproblems.com/244,low_to_medium_candidate,43,medium,archive/v1/reviews/problem_244.json
247,open,26,low_candidate,number theory,number theory; irrationality,no,yes,N/A,results/problems/number-theory/problem_247.md,https://www.erdosproblems.com/247,low_candidate,22,medium,archive/v1/reviews/problem_247.json
