number,source_status,current_status,status_confidence,actionability,ambiguity_severity,easy_counterexample_status,v2_level,v2_score,v2_confidence,old_model_score,score_delta,human_review_required,canonical_source,recheck_core_disagreement,primary_category,tags,problem_file,review_file,prompt_file
33,open,revised_open,medium,research_ready,material,none_found_after_targeted_check,low_to_medium_candidate,24,medium,60,-36,True,pass1,False,number theory,number theory; additive basis,results/problems/number-theory/problem_33.md,results/reviews/problem_33.json,results/prompts/problem_33.md
36,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,22,medium,82,-60,True,pass1,False,number theory,number theory; additive combinatorics,results/problems/number-theory/problem_36.md,results/reviews/problem_36.json,results/prompts/problem_36.md
39,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,16,medium,38,-22,False,pass1,False,number theory,number theory; sidon sets; additive combinatorics,results/problems/number-theory/problem_39.md,results/reviews/problem_39.json,results/prompts/problem_39.md
40,open,confirmed_open,medium,research_ready,material,none_found_after_targeted_check,low_candidate,12,medium,22,-10,True,pass1,False,number theory,number theory; additive basis,results/problems/number-theory/problem_40.md,results/reviews/problem_40.json,results/prompts/problem_40.md
41,open,confirmed_open,medium,research_ready,material,none_found_after_targeted_check,low_candidate,10,medium,38,-28,True,pass1,False,number theory,number theory; sidon sets; additive combinatorics,results/problems/number-theory/problem_41.md,results/reviews/problem_41.json,results/prompts/problem_41.md
44,open,likely_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,18,medium,42,-24,True,pass1,False,number theory,number theory; sidon sets; additive combinatorics,results/problems/number-theory/problem_44.md,results/reviews/problem_44.json,results/prompts/problem_44.md
50,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,24,medium,55,-31,True,pass1,False,number theory,number theory,results/problems/number-theory/problem_50.md,results/reviews/problem_50.json,results/prompts/problem_50.md
51,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,18,high,38,-20,False,pass1,False,number theory,number theory,results/problems/number-theory/problem_51.md,results/reviews/problem_51.json,results/prompts/problem_51.md
52,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,6,high,38,-32,True,pass1,False,number theory,number theory; additive combinatorics,results/problems/number-theory/problem_52.md,results/reviews/problem_52.json,results/prompts/problem_52.md
60,open,likely_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,18,high,42,-24,True,pass1,False,graph theory,graph theory; cycles,results/problems/graph-theory/problem_60.md,results/reviews/problem_60.json,results/prompts/problem_60.md
61,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,12,medium,38,-26,True,pass1,False,graph theory,graph theory,results/problems/graph-theory/problem_61.md,results/reviews/problem_61.json,results/prompts/problem_61.md
62,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,12,medium,38,-26,True,pass1,False,graph theory,graph theory,results/problems/graph-theory/problem_62.md,results/reviews/problem_62.json,results/prompts/problem_62.md
64,falsifiable,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,18,medium,58,-40,False,pass1,False,graph theory,graph theory; cycles,results/problems/graph-theory/problem_64.md,results/reviews/problem_64.json,results/prompts/problem_64.md
65,open,disproved,high,closed_verification_only,fatal,counterexample_found,not_applicable_closed_or_invalid,0,high,68,-68,True,pass1,False,graph theory,graph theory; cycles,results/problems/graph-theory/problem_65.md,results/reviews/problem_65.json,results/prompts/problem_65.md
66,open,confirmed_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,18,medium,42,-24,True,pass1,False,number theory,number theory; additive basis,results/problems/number-theory/problem_66.md,results/reviews/problem_66.json,results/prompts/problem_66.md
68,open,likely_open,medium,research_ready,none,none_found_after_targeted_check,low_candidate,12,medium,38,-26,False,pass1,False,number theory,number theory; irrationality,results/problems/number-theory/problem_68.md,results/reviews/problem_68.json,results/prompts/problem_68.md
70,open,confirmed_open,medium,research_ready,material,none_found_after_targeted_check,low_candidate,8,high,38,-30,True,pass1,False,graph theory,graph theory; ramsey theory; set theory,results/problems/graph-theory/problem_70.md,results/reviews/problem_70.json,results/prompts/problem_70.md
74,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,15,medium,42,-27,True,pass1,False,graph theory,graph theory; chromatic number; cycles,results/problems/graph-theory/problem_74.md,results/reviews/problem_74.json,results/prompts/problem_74.md
75,open,revised_open,medium,research_ready,material,none_found_after_targeted_check,low_candidate,15,medium,42,-27,True,pass1,False,graph theory,graph theory; chromatic number,results/problems/graph-theory/problem_75.md,results/reviews/problem_75.json,results/prompts/problem_75.md
77,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,8,high,18,-10,True,pass1,False,graph theory,graph theory; ramsey theory,results/problems/graph-theory/problem_77.md,results/reviews/problem_77.json,results/prompts/problem_77.md
78,open,revised_open,medium,research_ready,material,not_applicable,low_candidate,5,high,58,-53,True,pass1,False,graph theory,graph theory; ramsey theory,results/problems/graph-theory/problem_78.md,results/reviews/problem_78.json,results/prompts/problem_78.md
80,open,revised_open,medium,research_ready,material,counterexample_found,low_candidate,12,medium,35,-23,True,pass1,False,graph theory,graph theory; ramsey theory,results/problems/graph-theory/problem_80.md,results/reviews/problem_80.json,results/prompts/problem_80.md
81,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,28,medium,42,-14,True,pass1,False,graph theory,graph theory,results/problems/graph-theory/problem_81.md,results/reviews/problem_81.json,results/prompts/problem_81.md
82,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,15,medium,42,-27,True,pass1,False,graph theory,graph theory,results/problems/graph-theory/problem_82.md,results/reviews/problem_82.json,results/prompts/problem_82.md
84,open,revised_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,18,high,58,-40,True,pass1,False,graph theory,graph theory; cycles,results/problems/graph-theory/problem_84.md,results/reviews/problem_84.json,results/prompts/problem_84.md
85,open,confirmed_open,medium,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,24,medium,58,-34,True,pass1,False,graph theory,graph theory,results/problems/graph-theory/problem_85.md,results/reviews/problem_85.json,results/prompts/problem_85.md
86,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,18,medium,38,-20,True,pass1,False,graph theory,graph theory,results/problems/graph-theory/problem_86.md,results/reviews/problem_86.json,results/prompts/problem_86.md
87,open,revised_open,medium,needs_human_clarification,material,counterexample_found,low_candidate,12,medium,38,-26,True,pass1,False,graph theory,graph theory; ramsey theory,results/problems/graph-theory/problem_87.md,results/reviews/problem_87.json,results/prompts/problem_87.md
89,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,8,high,34,-26,True,pass1,False,geometry,geometry; distances,results/problems/geometry/problem_89.md,results/reviews/problem_89.json,results/prompts/problem_89.md
90,open,disproved,high,closed_verification_only,minor,counterexample_found,not_applicable_closed_or_invalid,0,high,28,-28,True,pass1,False,geometry,geometry; distances,results/problems/geometry/problem_90.md,results/reviews/problem_90.json,results/prompts/problem_90.md
91,open,confirmed_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,9,medium,38,-29,True,pass1,False,geometry,geometry; distances,results/problems/geometry/problem_91.md,results/reviews/problem_91.json,results/prompts/problem_91.md
92,open,disproved,high,closed_verification_only,minor,counterexample_found,not_applicable_closed_or_invalid,0,high,36,-36,True,pass1,False,geometry,geometry; distances,results/problems/geometry/problem_92.md,results/reviews/problem_92.json,results/prompts/problem_92.md
96,open,likely_open,medium,needs_human_clarification,minor,none_found_after_targeted_check,medium_candidate,42,medium,42,0,True,pass1,False,geometry,geometry; distances; convex,results/problems/geometry/problem_96.md,results/reviews/problem_96.json,results/prompts/problem_96.md
97,falsifiable,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,28,medium,62,-34,True,pass1,False,geometry,geometry; distances; convex,results/problems/geometry/problem_97.md,results/reviews/problem_97.json,results/prompts/problem_97.md
98,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,18,medium,42,-24,True,pass1,False,geometry,geometry; distances,results/problems/geometry/problem_98.md,results/reviews/problem_98.json,results/prompts/problem_98.md
99,open,confirmed_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,8,medium,58,-50,True,pass1,False,geometry,geometry; distances,results/problems/geometry/problem_99.md,results/reviews/problem_99.json,results/prompts/problem_99.md
100,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,24,medium,62,-38,True,pass1,False,geometry,geometry; distances,results/problems/geometry/problem_100.md,results/reviews/problem_100.json,results/prompts/problem_100.md
101,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,13,medium,42,-29,True,pass1,False,geometry,geometry,results/problems/geometry/problem_101.md,results/reviews/problem_101.json,results/prompts/problem_101.md
102,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,16,medium,25,-9,True,pass1,False,geometry,geometry,results/problems/geometry/problem_102.md,results/reviews/problem_102.json,results/prompts/problem_102.md
103,open,confirmed_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,12,medium,42,-30,True,pass1,False,geometry,geometry; distances,results/problems/geometry/problem_103.md,results/reviews/problem_103.json,results/prompts/problem_103.md
104,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,8,medium,58,-50,True,pass1,False,geometry,geometry,results/problems/geometry/problem_104.md,results/reviews/problem_104.json,results/prompts/problem_104.md
106,falsifiable,confirmed_open,medium,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,24,medium,62,-38,False,pass1,False,geometry,geometry,results/problems/geometry/problem_106.md,results/reviews/problem_106.json,results/prompts/problem_106.md
107,falsifiable,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,4,high,25,-21,False,pass1,False,geometry,geometry; convex,results/problems/geometry/problem_107.md,results/reviews/problem_107.json,results/prompts/problem_107.md
108,open,confirmed_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,12,medium,38,-26,True,pass1,False,graph theory,graph theory; chromatic number; cycles,results/problems/graph-theory/problem_108.md,results/reviews/problem_108.json,results/prompts/problem_108.md
111,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,16,medium,58,-42,True,pass1,False,graph theory,graph theory; chromatic number; set theory,results/problems/graph-theory/problem_111.md,results/reviews/problem_111.json,results/prompts/problem_111.md
112,open,likely_open,medium,research_ready,material,counterexample_found,low_candidate,20,medium,62,-42,True,pass1,False,graph theory,graph theory; ramsey theory,results/problems/graph-theory/problem_112.md,results/reviews/problem_112.json,results/prompts/problem_112.md
114,falsifiable,revised_open,high,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,24,medium,72,-48,True,pass1,False,polynomials,polynomials; analysis,results/problems/polynomials/problem_114.md,results/reviews/problem_114.json,results/prompts/problem_114.md
117,open,likely_open,medium,needs_human_clarification,material,none_found_after_targeted_check,low_candidate,15,medium,42,-27,True,pass1,False,group theory,group theory,results/problems/group-theory/problem_117.md,results/reviews/problem_117.json,results/prompts/problem_117.md
119,open,revised_open,medium,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,18,medium,42,-24,True,pass1,False,analysis,analysis; polynomials,results/problems/analysis/problem_119.md,results/reviews/problem_119.json,results/prompts/problem_119.md
120,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,8,high,34,-26,True,pass1,False,combinatorics,combinatorics,results/problems/combinatorics/problem_120.md,results/reviews/problem_120.json,results/prompts/problem_120.md
122,open,ambiguous,high,needs_human_clarification,fatal,not_applicable,low_candidate,0,high,38,-38,True,pass1,False,number theory,number theory,results/problems/number-theory/problem_122.md,results/reviews/problem_122.json,results/prompts/problem_122.md
123,open,disproved,high,closed_verification_only,material,counterexample_found,not_applicable_closed_or_invalid,0,high,58,-58,True,pass1,False,number theory,number theory,results/problems/number-theory/problem_123.md,results/reviews/problem_123.json,results/prompts/problem_123.md
124,open,revised_open,high,research_ready,material,not_applicable,low_to_medium_candidate,24,medium,58,-34,True,pass1,False,number theory,number theory; base representations,results/problems/number-theory/problem_124.md,results/reviews/problem_124.json,results/prompts/problem_124.md
126,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,12,medium,42,-30,True,pass1,False,number theory,number theory,results/problems/number-theory/problem_126.md,results/reviews/problem_126.json,results/prompts/problem_126.md
128,falsifiable,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,12,medium,46,-34,True,pass1,False,graph theory,graph theory,results/problems/graph-theory/problem_128.md,results/reviews/problem_128.json,results/prompts/problem_128.md
129,open,disproved,high,closed_verification_only,material,counterexample_found,not_applicable_closed_or_invalid,0,high,18,-18,True,pass1,False,graph theory,graph theory; ramsey theory,results/problems/graph-theory/problem_129.md,results/reviews/problem_129.json,results/prompts/problem_129.md
567,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,20,medium,55,-35,True,pass1,False,graph theory,graph theory; ramsey theory,results/problems/graph-theory/problem_567.md,results/reviews/problem_567.json,results/prompts/problem_567.md
568,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,12,medium,63,-51,False,pass1,False,graph theory,graph theory; ramsey theory,results/problems/graph-theory/problem_568.md,results/reviews/problem_568.json,results/prompts/problem_568.md
569,open,solved,medium,closed_verification_only,minor,none_found_after_targeted_check,not_applicable_closed_or_invalid,0,high,45,-45,True,pass1,False,graph theory,graph theory; ramsey theory,results/problems/graph-theory/problem_569.md,results/reviews/problem_569.json,results/prompts/problem_569.md
571,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,16,medium,32,-16,False,pass1,False,graph theory,graph theory; turan number,results/problems/graph-theory/problem_571.md,results/reviews/problem_571.json,results/prompts/problem_571.md
572,open,confirmed_open,high,research_ready,material,none_found_after_targeted_check,low_candidate,8,high,34,-26,False,pass1,False,graph theory,graph theory; turan number,results/problems/graph-theory/problem_572.md,results/reviews/problem_572.json,results/prompts/problem_572.md
573,open,confirmed_open,high,research_ready,none,none_found_after_targeted_check,low_candidate,14,medium,36,-22,False,pass1,False,graph theory,graph theory; turan number,results/problems/graph-theory/problem_573.md,results/reviews/problem_573.json,results/prompts/problem_573.md
635,open,revised_open,high,research_ready,material,none_found_after_targeted_check,low_to_medium_candidate,30,medium,82,-52,True,pass1,False,number theory,number theory,results/problems/number-theory/problem_635.md,results/reviews/problem_635.json,results/prompts/problem_635.md
655,open,disproved,high,closed_verification_only,material,counterexample_found,not_applicable_closed_or_invalid,0,high,88,-88,True,pass1,False,geometry,geometry; distances,results/problems/geometry/problem_655.md,results/reviews/problem_655.json,results/prompts/problem_655.md
1005,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,38,medium,72,-34,True,pass1,False,number theory,number theory,results/problems/number-theory/problem_1005.md,results/reviews/problem_1005.json,results/prompts/problem_1005.md
