number,status,score,level,primary_category,tags,prize,formalized,oeis,problem_file,url
155,open,30,low_candidate,additive combinatorics,additive combinatorics; sidon sets,no,yes,A143824; A227590; A003022,problems/additive-combinatorics/problem_155.md,https://www.erdosproblems.com/155
156,open,26,low_candidate,sidon sets,sidon sets,no,no,A382397,problems/sidon-sets/problem_156.md,https://www.erdosproblems.com/156
158,open,32,low_candidate,sidon sets,sidon sets,no,yes,N/A,problems/sidon-sets/problem_158.md,https://www.erdosproblems.com/158
159,open,41,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,problems/graph-theory/problem_159.md,https://www.erdosproblems.com/159
160,open,20,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,no,yes,possible,problems/additive-combinatorics/problem_160.md,https://www.erdosproblems.com/160
161,open,41,low_to_medium_candidate,combinatorics,combinatorics; ramsey theory; discrepancy,$500,no,N/A,problems/combinatorics/problem_161.md,https://www.erdosproblems.com/161
162,open,48,low_to_medium_candidate,combinatorics,combinatorics; ramsey theory; discrepancy,no,no,N/A,problems/combinatorics/problem_162.md,https://www.erdosproblems.com/162
165,open,32,low_candidate,graph theory,graph theory; ramsey theory,$250,no,A000791,problems/graph-theory/problem_165.md,https://www.erdosproblems.com/165
167,falsifiable,59,medium_candidate,graph theory,graph theory,no,no,N/A,problems/graph-theory/problem_167.md,https://www.erdosproblems.com/167
168,open,39,low_to_medium_candidate,additive combinatorics,additive combinatorics,no,yes,A004059; A057561; A094708; A386439,problems/additive-combinatorics/problem_168.md,https://www.erdosproblems.com/168
169,open,28,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,no,no,A005346,problems/additive-combinatorics/problem_169.md,https://www.erdosproblems.com/169
170,open,41,low_to_medium_candidate,additive combinatorics,additive combinatorics,no,yes,A046693,problems/additive-combinatorics/problem_170.md,https://www.erdosproblems.com/170
172,open,39,low_to_medium_candidate,additive combinatorics,additive combinatorics; ramsey theory,no,yes,N/A,problems/additive-combinatorics/problem_172.md,https://www.erdosproblems.com/172
173,open,37,low_candidate,geometry,geometry; ramsey theory,no,no,N/A,problems/geometry/problem_173.md,https://www.erdosproblems.com/173
174,open,43,low_to_medium_candidate,geometry,geometry; ramsey theory,no,no,N/A,problems/geometry/problem_174.md,https://www.erdosproblems.com/174
176,open,21,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions; discrepancy,no,no,possible,problems/additive-combinatorics/problem_176.md,https://www.erdosproblems.com/176
177,open,30,low_candidate,discrepancy,discrepancy; arithmetic progressions,no,no,N/A,problems/discrepancy/problem_177.md,https://www.erdosproblems.com/177
180,open,46,low_to_medium_candidate,graph theory,graph theory; turan number,no,no,N/A,problems/graph-theory/problem_180.md,https://www.erdosproblems.com/180
181,open,41,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,problems/graph-theory/problem_181.md,https://www.erdosproblems.com/181
183,open,47,low_to_medium_candidate,graph theory,graph theory; ramsey theory,$250,no,A003323,problems/graph-theory/problem_183.md,https://www.erdosproblems.com/183
184,open,43,low_to_medium_candidate,graph theory,graph theory; cycles,no,yes,possible,problems/graph-theory/problem_184.md,https://www.erdosproblems.com/184
187,open,32,low_candidate,additive combinatorics,additive combinatorics; ramsey theory,no,no,N/A,problems/additive-combinatorics/problem_187.md,https://www.erdosproblems.com/187
188,open,39,low_to_medium_candidate,geometry,geometry; ramsey theory,no,yes,N/A,problems/geometry/problem_188.md,https://www.erdosproblems.com/188
190,open,36,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,no,no,possible,problems/additive-combinatorics/problem_190.md,https://www.erdosproblems.com/190
193,open,42,low_to_medium_candidate,geometry,geometry,no,yes,A231255,problems/geometry/problem_193.md,https://www.erdosproblems.com/193
195,open,32,low_candidate,arithmetic progressions,arithmetic progressions,no,yes,N/A,problems/arithmetic-progressions/problem_195.md,https://www.erdosproblems.com/195
196,open,32,low_candidate,arithmetic progressions,arithmetic progressions,no,yes,N/A,problems/arithmetic-progressions/problem_196.md,https://www.erdosproblems.com/196
197,open,32,low_candidate,arithmetic progressions,arithmetic progressions,no,yes,N/A,problems/arithmetic-progressions/problem_197.md,https://www.erdosproblems.com/197
200,open,24,low_candidate,primes,primes; arithmetic progressions,no,yes,A005115,problems/primes/problem_200.md,https://www.erdosproblems.com/200
201,open,25,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,no,no,A003002; A003003; A003004; A003005; possible,problems/additive-combinatorics/problem_201.md,https://www.erdosproblems.com/201
202,open,32,low_candidate,covering systems,covering systems,no,no,A389975,problems/covering-systems/problem_202.md,https://www.erdosproblems.com/202
203,open,32,low_candidate,primes,primes; covering systems,no,yes,N/A,problems/primes/problem_203.md,https://www.erdosproblems.com/203
208,open,33,low_candidate,number theory,number theory,no,yes,A005117; A076259,problems/number-theory/problem_208.md,https://www.erdosproblems.com/208
212,open,31,low_candidate,geometry,geometry; distances,no,yes,N/A,problems/geometry/problem_212.md,https://www.erdosproblems.com/212
213,open,28,low_candidate,geometry,geometry; distances,no,yes,N/A,problems/geometry/problem_213.md,https://www.erdosproblems.com/213
217,open,23,low_candidate,geometry,geometry; distances,no,no,possible,problems/geometry/problem_217.md,https://www.erdosproblems.com/217
218,open,27,low_candidate,number theory,number theory; primes,no,yes,A333230; A333231; A064113,problems/number-theory/problem_218.md,https://www.erdosproblems.com/218
222,open,27,low_candidate,number theory,number theory; squares,no,no,A256435,problems/number-theory/problem_222.md,https://www.erdosproblems.com/222
233,open,21,low_candidate,number theory,number theory; primes,no,yes,A074741,problems/number-theory/problem_233.md,https://www.erdosproblems.com/233
234,open,26,low_candidate,number theory,number theory; primes,no,yes,N/A,problems/number-theory/problem_234.md,https://www.erdosproblems.com/234
236,open,27,low_candidate,number theory,number theory; primes,no,yes,A039669; A109925,problems/number-theory/problem_236.md,https://www.erdosproblems.com/236
238,open,20,low_candidate,number theory,number theory; primes,no,yes,N/A,problems/number-theory/problem_238.md,https://www.erdosproblems.com/238
241,open,28,low_candidate,additive combinatorics,additive combinatorics; sidon sets,$100,yes,A387704,problems/additive-combinatorics/problem_241.md,https://www.erdosproblems.com/241
242,falsifiable,62,medium_candidate,number theory,number theory; unit fractions,no,yes,A073101; A075245; A075246; A075247; A075248; A287116,problems/number-theory/problem_242.md,https://www.erdosproblems.com/242
243,open,27,low_candidate,number theory,number theory,no,yes,A000058,problems/number-theory/problem_243.md,https://www.erdosproblems.com/243
244,open,23,low_candidate,number theory,number theory; primes,no,yes,N/A,problems/number-theory/problem_244.md,https://www.erdosproblems.com/244
247,open,26,low_candidate,number theory,number theory; irrationality,no,yes,N/A,problems/number-theory/problem_247.md,https://www.erdosproblems.com/247
249,open,33,low_candidate,number theory,number theory; irrationality,no,yes,A256936,problems/number-theory/problem_249.md,https://www.erdosproblems.com/249
251,open,27,low_candidate,number theory,number theory; irrationality,no,yes,A098990,problems/number-theory/problem_251.md,https://www.erdosproblems.com/251
252,open,33,low_candidate,number theory,number theory; irrationality,no,yes,A227988; A227989; possible,problems/number-theory/problem_252.md,https://www.erdosproblems.com/252
254,open,29,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_254.md,https://www.erdosproblems.com/254
256,open,21,low_candidate,analysis,analysis,no,no,N/A,problems/analysis/problem_256.md,https://www.erdosproblems.com/256
257,open,29,low_candidate,irrationality,irrationality,no,yes,N/A,problems/irrationality/problem_257.md,https://www.erdosproblems.com/257
260,open,26,low_candidate,irrationality,irrationality,no,yes,N/A,problems/irrationality/problem_260.md,https://www.erdosproblems.com/260
261,open,32,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_261.md,https://www.erdosproblems.com/261
263,open,34,low_candidate,irrationality,irrationality,no,yes,N/A,problems/irrationality/problem_263.md,https://www.erdosproblems.com/263
264,open,26,low_candidate,irrationality,irrationality,no,yes,N/A,problems/irrationality/problem_264.md,https://www.erdosproblems.com/264
265,open,24,low_candidate,irrationality,irrationality,no,no,N/A,problems/irrationality/problem_265.md,https://www.erdosproblems.com/265
267,open,35,low_candidate,irrationality,irrationality,no,yes,N/A,problems/irrationality/problem_267.md,https://www.erdosproblems.com/267
269,open,29,low_candidate,irrationality,irrationality,no,yes,N/A,problems/irrationality/problem_269.md,https://www.erdosproblems.com/269
271,open,25,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,no,no,A005487,problems/additive-combinatorics/problem_271.md,https://www.erdosproblems.com/271
272,open,20,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,no,yes,possible,problems/additive-combinatorics/problem_272.md,https://www.erdosproblems.com/272
273,open,35,low_candidate,number theory,number theory; covering systems,no,yes,N/A,problems/number-theory/problem_273.md,https://www.erdosproblems.com/273
274,open,45,low_to_medium_candidate,group theory,group theory; covering systems,no,yes,N/A,problems/group-theory/problem_274.md,https://www.erdosproblems.com/274
276,open,44,low_to_medium_candidate,number theory,number theory; covering systems,no,yes,N/A,problems/number-theory/problem_276.md,https://www.erdosproblems.com/276
278,open,31,low_candidate,number theory,number theory; covering systems,no,no,N/A,problems/number-theory/problem_278.md,https://www.erdosproblems.com/278
279,open,18,low_candidate,number theory,number theory; covering systems; primes,no,no,N/A,problems/number-theory/problem_279.md,https://www.erdosproblems.com/279
282,open,42,low_to_medium_candidate,number theory,number theory; unit fractions,no,yes,N/A,problems/number-theory/problem_282.md,https://www.erdosproblems.com/282
287,falsifiable,56,medium_candidate,number theory,number theory; unit fractions,no,no,N/A,problems/number-theory/problem_287.md,https://www.erdosproblems.com/287
288,open,42,low_to_medium_candidate,number theory,number theory; unit fractions,no,yes,N/A,problems/number-theory/problem_288.md,https://www.erdosproblems.com/288
289,open,36,low_candidate,number theory,number theory; unit fractions,no,yes,N/A,problems/number-theory/problem_289.md,https://www.erdosproblems.com/289
291,open,32,low_candidate,number theory,number theory; unit fractions,no,no,A110566,problems/number-theory/problem_291.md,https://www.erdosproblems.com/291
293,open,25,low_candidate,number theory,number theory; unit fractions,no,no,possible,problems/number-theory/problem_293.md,https://www.erdosproblems.com/293
295,open,37,low_candidate,number theory,number theory; unit fractions,no,yes,A192881,problems/number-theory/problem_295.md,https://www.erdosproblems.com/295
301,open,32,low_candidate,number theory,number theory; unit fractions,no,no,A390394,problems/number-theory/problem_301.md,https://www.erdosproblems.com/301
302,open,35,low_candidate,number theory,number theory; unit fractions,no,no,A390395,problems/number-theory/problem_302.md,https://www.erdosproblems.com/302
304,open,34,low_candidate,number theory,number theory; unit fractions,no,yes,A097847; A097849,problems/number-theory/problem_304.md,https://www.erdosproblems.com/304
306,open,30,low_candidate,number theory,number theory; unit fractions,no,yes,N/A,problems/number-theory/problem_306.md,https://www.erdosproblems.com/306
307,verifiable,64,medium_candidate,number theory,number theory; unit fractions,no,yes,N/A,problems/number-theory/problem_307.md,https://www.erdosproblems.com/307
311,open,28,low_candidate,number theory,number theory; unit fractions,no,no,N/A,problems/number-theory/problem_311.md,https://www.erdosproblems.com/311
312,open,38,low_to_medium_candidate,number theory,number theory; unit fractions,no,yes,N/A,problems/number-theory/problem_312.md,https://www.erdosproblems.com/312
313,open,37,low_candidate,number theory,number theory; unit fractions,no,yes,A054377,problems/number-theory/problem_313.md,https://www.erdosproblems.com/313
317,open,32,low_candidate,number theory,number theory; unit fractions,no,yes,N/A,problems/number-theory/problem_317.md,https://www.erdosproblems.com/317
319,open,30,low_candidate,number theory,number theory; unit fractions,no,yes,possible,problems/number-theory/problem_319.md,https://www.erdosproblems.com/319
320,open,35,low_candidate,number theory,number theory; unit fractions,no,no,A072207,problems/number-theory/problem_320.md,https://www.erdosproblems.com/320
321,open,40,low_to_medium_candidate,number theory,number theory; unit fractions,no,yes,A384927; A391592,problems/number-theory/problem_321.md,https://www.erdosproblems.com/321
322,open,23,low_candidate,number theory,number theory; powers,no,no,A025456; A025418,problems/number-theory/problem_322.md,https://www.erdosproblems.com/322
323,open,23,low_candidate,number theory,number theory; powers,no,yes,possible,problems/number-theory/problem_323.md,https://www.erdosproblems.com/323
324,open,34,low_candidate,number theory,number theory; powers,no,yes,N/A,problems/number-theory/problem_324.md,https://www.erdosproblems.com/324
325,open,29,low_candidate,number theory,number theory; powers,no,yes,possible,problems/number-theory/problem_325.md,https://www.erdosproblems.com/325
326,open,40,low_to_medium_candidate,number theory,number theory; additive basis,no,yes,N/A,problems/number-theory/problem_326.md,https://www.erdosproblems.com/326
327,open,32,low_candidate,number theory,number theory; unit fractions,no,no,A384927,problems/number-theory/problem_327.md,https://www.erdosproblems.com/327
329,open,34,low_candidate,number theory,number theory,no,yes,possible,problems/number-theory/problem_329.md,https://www.erdosproblems.com/329
332,open,35,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_332.md,https://www.erdosproblems.com/332
334,open,24,low_candidate,number theory,number theory,no,no,A062241; A045535,problems/number-theory/problem_334.md,https://www.erdosproblems.com/334
335,open,24,low_candidate,number theory,number theory; additive combinatorics,no,no,N/A,problems/number-theory/problem_335.md,https://www.erdosproblems.com/335
336,open,33,low_candidate,number theory,number theory; additive basis,no,no,possible,problems/number-theory/problem_336.md,https://www.erdosproblems.com/336
338,open,33,low_candidate,number theory,number theory; additive basis,no,no,N/A,problems/number-theory/problem_338.md,https://www.erdosproblems.com/338
340,open,24,low_candidate,number theory,number theory; additive combinatorics; sidon sets,no,yes,A080200; A005282,problems/number-theory/problem_340.md,https://www.erdosproblems.com/340
341,open,35,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_341.md,https://www.erdosproblems.com/341
342,open,36,low_candidate,number theory,number theory,no,yes,A002858,problems/number-theory/problem_342.md,https://www.erdosproblems.com/342
345,open,34,low_candidate,number theory,number theory; complete sequences,no,no,A001661,problems/number-theory/problem_345.md,https://www.erdosproblems.com/345
346,open,34,low_candidate,number theory,number theory; complete sequences,no,yes,N/A,problems/number-theory/problem_346.md,https://www.erdosproblems.com/346
348,open,40,low_to_medium_candidate,number theory,number theory; complete sequences,no,yes,N/A,problems/number-theory/problem_348.md,https://www.erdosproblems.com/348
349,open,35,low_candidate,number theory,number theory; complete sequences,no,yes,N/A,problems/number-theory/problem_349.md,https://www.erdosproblems.com/349
352,open,34,low_candidate,geometry,geometry,no,yes,N/A,problems/geometry/problem_352.md,https://www.erdosproblems.com/352
354,open,32,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_354.md,https://www.erdosproblems.com/354
357,open,30,low_candidate,number theory,number theory,no,yes,A364132; A364153; possible,problems/number-theory/problem_357.md,https://www.erdosproblems.com/357
359,open,29,low_candidate,number theory,number theory,no,yes,A002048,problems/number-theory/problem_359.md,https://www.erdosproblems.com/359
361,open,32,low_candidate,number theory,number theory,no,yes,possible,problems/number-theory/problem_361.md,https://www.erdosproblems.com/361
364,verifiable,67,medium_candidate,number theory,number theory,no,yes,A060355; A076445,problems/number-theory/problem_364.md,https://www.erdosproblems.com/364
365,open,36,low_candidate,number theory,number theory,no,no,A060355; A060859; A175155,problems/number-theory/problem_365.md,https://www.erdosproblems.com/365
366,verifiable,70,high_candidate,number theory,number theory,no,yes,A060355,problems/number-theory/problem_366.md,https://www.erdosproblems.com/366
367,open,21,low_candidate,number theory,number theory,no,no,A057521,problems/number-theory/problem_367.md,https://www.erdosproblems.com/367
368,open,25,low_candidate,number theory,number theory,no,no,A074399,problems/number-theory/problem_368.md,https://www.erdosproblems.com/368
371,open,24,low_candidate,number theory,number theory,no,yes,A070089,problems/number-theory/problem_371.md,https://www.erdosproblems.com/371
373,open,36,low_candidate,number theory,number theory; factorials,no,yes,A003135,problems/number-theory/problem_373.md,https://www.erdosproblems.com/373
374,open,22,low_candidate,number theory,number theory,no,no,A388851; A387184; A389117; A389148,problems/number-theory/problem_374.md,https://www.erdosproblems.com/374
